eid,pid,total_V1_channels,total_bad_channels,total_channels_VISp1,total_channels_VISp2/3,total_channels_VISp4,total_channels_VISp5,total_channels_VISp6a,total_channels_VISp6b,multiple_pids,total trials,num_late_movement,total bad trials
0c828385-6dd6-4842-a702-c5075f5f5e81,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,48,0,0,0,10,20,16,2,0,610.0,72.0,128.0
7cb81727-2097-4b52-b480-c89867b5b34c,4b93a168-0f3b-4124-88fa-a57046ca70e1,70,1,0,16,14,20,14,6,0,658.0,9.0,43.0
41431f53-69fd-4e3b-80ce-ea62e03bf9c7,a9c9df46-85f3-46ad-848d-c6b8da4ae67c,116,0,16,24,16,26,24,10,0,544.0,195.0,47.0
642c97ea-fe89-4ec9-8629-5e492ea4019d,b72b22c2-6e9d-4604-9910-20c0e1a467d7,90,0,16,22,10,22,16,4,0,489.0,74.0,0.0
f56194bc-8215-4ae8-bc6a-89781ad8e050,18d316bf-d322-4c5c-814e-a58147f7bf5f,118,0,18,28,22,30,20,0,0,696.0,99.0,237.0
e535fb62-e245-4a48-b119-88ce62a6fe67,c4f6665f-8be5-476b-a6e8-d81eeae9279d,16,0,0,0,0,6,10,0,0,434.0,75.0,63.0
03cf52f6-fba6-4743-a42e-dd1ac3072343,a3d13b05-bf4d-427a-a2d5-2fe050d603ec,94,0,10,26,14,24,16,4,0,415.0,56.0,262.0
f140a2ec-fd49-4814-994a-fe3476f14e66,bf96f6d6-4726-4cfa-804a-bca8f9262721,14,0,0,0,0,8,4,2,0,402.0,21.0,197.0
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,d213e786-4b1c-477d-a710-766d69fa1ac1,106,1,16,26,16,22,22,4,0,577.0,83.0,24.0
09b2c4d1-058d-4c84-9fd4-97530f85baf6,b78b3c42-eee5-47c6-9717-743b78c0b721,82,0,0,22,14,24,20,2,0,598.0,78.0,2.0
fcd49e34-f07b-441c-b2ac-cb8c462ec5ac,ece878b9-830d-4618-b801-ad0e7d8e7085,66,0,0,18,16,26,6,0,0,1279.0,23.0,1235.0
2584ce3c-db10-4076-89cb-5d313138dd38,b114e7e0-92b3-43bb-9529-53860e52606d,88,0,18,32,30,8,0,0,0,712.0,4.0,77.0
7dd27c2f-9544-448d-918d-be0f9837b0e0,d3507787-60c8-4cea-a61e-0c708b4361d8,56,56,0,0,8,20,24,4,0,,,
45ef6691-7b80-4a43-bd1a-85fc00851ae8,578ca001-8cf5-4d30-b58f-1d574eaf808a,60,1,10,18,10,22,0,0,0,645.0,10.0,58.0
e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,fb0de39b-c750-4adc-af18-12bf8a22ed41,38,0,0,0,0,0,38,0,1,527.0,26.0,34.0
e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,a6fe3779-2b77-4b66-a625-a6078720e412,8,0,0,0,0,0,6,2,1,527.0,26.0,19.0
90d1e82c-c96f-496c-ad4e-ee3f02067f25,b40d8c65-7ee8-4069-8b64-1a3f7907742f,94,0,10,26,14,22,18,4,0,540.0,40.0,90.0
8a3a0197-b40a-449f-be55-c00b23253bbf,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,38,0,0,0,6,16,14,2,0,417.0,32.0,129.0
158d5d35-a2ab-4a76-87b0-51048c5d5283,b76f24ea-95b1-4a0e-95eb-9c39b1283c40,58,0,0,0,8,26,20,4,0,401.0,115.0,11.0
caa5dddc-9290-4e27-9f5e-575ba3598614,d0046384-16ea-4f69-bae9-165e8d0aeacf,48,0,0,0,8,22,16,2,1,404.0,23.0,358.0
caa5dddc-9290-4e27-9f5e-575ba3598614,4836a465-c691-4852-a0b1-dcd2b1ce38a1,92,62,0,26,16,28,18,4,1,,,
71e55bfe-5a3a-4cba-bdc7-f085140d798e,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,30,0,0,0,0,12,14,4,0,1132.0,15.0,239.0
0cf6d255-8f2f-463e-84fb-c54bacb79f51,c5b9e063-f640-4936-b851-f7602cb6659b,88,0,2,24,18,22,18,4,0,702.0,13.0,315.0
9a6e127b-bb07-4be2-92e2-53dd858c2762,e5bc1f00-f4b8-4b35-a9b6-60d9cc7959a1,2,0,0,0,0,2,0,0,0,653.0,35.0,122.0
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,769b42dc-acf3-4079-b09e-ec979568d297,72,22,0,12,12,26,20,2,0,,,
db4df448-e449-4a6f-a0e7-288711e7a75a,febb430e-2d50-4f83-87a0-b5ffbb9a4943,40,0,0,0,10,16,12,2,0,402.0,81.0,77.0
948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,b939cc85-6028-404a-995d-28c8405a07db,30,0,0,16,14,0,0,0,0,604.0,25.0,440.0
e012d3e3-fdbc-4661-9ffa-5fa284e4e706,2400a2fa-0335-480b-ac8d-a478171f3a55,44,0,0,0,2,22,20,0,0,705.0,32.0,153.0
75b6b132-d998-4fba-8482-961418ac957d,88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,16,0,10,6,0,0,0,0,0,471.0,35.0,5.0
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,98,2,12,26,12,22,22,4,0,728.0,94.0,1.0
6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,26,0,0,0,0,4,22,0,0,874.0,1.0,213.0
9fe512b8-92a8-4642-83b6-01158ab66c3c,a4d9d9d5-6ea3-4234-aa28-e064e83626fa,78,0,0,16,16,22,20,4,0,757.0,77.0,593.0
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,84,0,2,24,10,26,20,2,0,688.0,106.0,286.0
111c1762-7908-47e0-9f40-2f2ee55b6505,27bac116-ea57-4512-ad35-714a62d259cd,42,0,0,0,0,18,20,4,0,724.0,21.0,277.0
35ed605c-1a1a-47b1-86ff-2b56144f55af,85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,24,0,0,24,0,0,0,0,0,522.0,101.0,27.0
90c61c38-b9fd-4cc3-9795-29160d2f8e55,43436b4b-0431-407f-b83d-d657ec22b5c6,64,28,8,20,8,20,8,0,0,,,
91bac580-76ed-41ab-ac07-89051f8d7f6e,6d9b6393-6729-4a15-ad08-c6838842a074,70,0,10,18,10,18,12,2,0,699.0,21.0,356.0
a19c7a3a-7261-42ce-95d5-1f4ca46007ed,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,22,0,0,0,0,14,8,0,0,479.0,64.0,73.0
1dbba733-24a4-4400-9436-53f1bd8428e8,22609d51-0a6a-425d-a3ef-eeb43a9ba350,12,0,0,0,0,0,6,6,0,620.0,11.0,31.0
a405053a-eb13-4aa4-850c-5a337e5dc7fd,afecbc7f-10e3-40af-b091-cca9e8df6108,18,18,18,0,0,0,0,0,0,,,
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,df07180e-268e-489c-826e-40cb6f63d3a5,54,2,0,0,10,26,16,2,0,770.0,17.0,55.0
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,56,3,0,0,8,48,0,0,0,1111.0,4.0,13.0
5c0c560e-9e1f-45e9-b66e-e4ee7855be84,478de1ce-d7e7-4221-9365-2abdc6e88fb6,18,0,0,0,0,4,12,2,0,1100.0,84.0,605.0
c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,cab81176-36cd-4c37-9353-841e85027d36,20,0,0,0,10,10,0,0,0,587.0,59.0,157.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,6,0,0,0,0,0,2,4,0,656.0,143.0,92.0
7be8fec4-406b-4e74-8548-d2885dcc3d5e,44f5caad-c703-4279-866b-0303e57d2a7f,50,15,0,0,0,8,36,6,0,594.0,22.0,40.0
413a6825-2144-4a50-b3fc-cf38ddd6fd1a,b9b101cf-24d3-4c2a-8464-bc91b9f0c767,70,0,14,22,14,20,0,0,0,456.0,78.0,36.0
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,118,0,18,30,24,34,12,0,0,458.0,44.0,182.0
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,92822789-608f-44a6-ad64-fe549402b2df,72,0,10,20,8,18,12,4,0,620.0,38.0,20.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,24,0,0,0,0,0,18,6,0,657.0,226.0,129.0
6274dda8-3a59-4aa1-95f8-a8a549c46a26,1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,68,0,0,0,10,28,24,6,0,781.0,112.0,73.0
5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,d6c810b2-5922-4127-af2b-4b104bc55c2b,62,0,0,0,14,26,18,4,0,589.0,128.0,46.0
37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,50f1512d-dd41-4a0c-b3ab-b0564f0424d7,20,3,0,0,0,0,18,2,0,630.0,17.0,593.0
a71175be-d1fd-47a3-aa93-b830ea3634a1,e10a7a75-4740-41d1-82bb-7696ed14c442,30,15,0,0,8,22,0,0,0,,,
5ae68c54-2897-4d3a-8120-426150704385,a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,38,0,0,0,6,6,20,6,0,740.0,20.0,177.0
5d01d14e-aced-4465-8f8e-9a1c674f62ec,c84144db-4498-4627-b72a-975a6b618715,78,3,4,22,14,20,14,4,0,554.0,285.0,4.0
7416f387-b302-4ca3-8daf-03b585a1b7ec,caf2170c-5463-46ce-8cd0-66f2e1e3376d,14,0,0,0,0,14,0,0,0,476.0,18.0,3.0
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,220bca21-4cf8-43f1-a213-71645899c571,54,11,12,22,12,8,0,0,0,907.0,39.0,672.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,32,0,2,30,0,0,0,0,0,443.0,46.0,65.0
e0928e11-2b86-4387-a203-80c77fab5d52,fdeff6df-7216-4b83-ab64-241e9fd173da,92,0,12,24,10,26,16,4,1,474.0,119.0,4.0
e0928e11-2b86-4387-a203-80c77fab5d52,799d899d-c398-4e81-abaf-1ef4b02d5475,80,0,0,0,10,32,30,8,1,474.0,119.0,436.0
e349a2e7-50a3-47ca-bc45-20d1899854ec,3bd1f88b-4e0c-43a6-9483-3305e82f2fae,60,12,14,16,12,18,0,0,0,1022.0,116.0,818.0
bda2faf5-9563-4940-a80f-ce444259e47b,29418b18-4db6-436f-a85e-b0f1d38d2e62,80,1,26,38,16,0,0,0,0,545.0,8.0,19.0
bb099402-fb31-4cfd-824e-1c97530a0875,b83407f8-8220-46f9-9b90-a4c9f150c572,18,7,0,0,0,0,14,4,0,,,
